p,d,q,P,D,Q,Time,AIC
0, 0, 0,4, 1, 1,4.772658824920654,12.0
0, 0, 0,4, 1, 2,6.113419055938721,14.0
0, 0, 0,4, 1, 3,7.510614633560181,16.0
0, 0, 0,4, 1, 4,9.231192827224731,18.0
0, 0, 0,4, 2, 0,6.8233397006988525,10.0
0, 0, 0,4, 2, 1,7.987523555755615,12.0
0, 0, 0,4, 2, 2,9.784631490707397,14.0
0, 0, 0,4, 2, 3,11.818675518035889,16.0
0, 0, 0,4, 2, 4,13.716434955596924,18.0
0, 0, 0,4, 3, 0,12.354981660842896,10.0
0, 0, 0,4, 3, 1,12.217950344085693,12.0
0, 0, 0,4, 3, 2,13.483087301254272,14.0
0, 0, 0,4, 3, 3,14.410481929779053,16.0
0, 0, 0,4, 3, 4,18.48306369781494,18.0
0, 0, 0,4, 4, 0,14.959831953048706,10.0
0, 0, 0,4, 4, 1,16.105515241622925,12.0
0, 0, 0,4, 4, 2,18.747592210769653,14.0
0, 0, 0,4, 4, 3,22.228169918060303,16.0
0, 0, 0,4, 4, 4,25.344408750534058,18.0
0, 0, 1,0, 0, 0,0.060005903244018555,962.1593127361418
0, 0, 1,0, 0, 1,0.15537595748901367,5745.00271927496
0, 0, 1,0, 0, 2,1.8011126518249512,456.0304563733196
0, 0, 1,0, 0, 3,8.561441421508789,232.87772569434546
0, 0, 1,0, 0, 4,3.481161594390869,12.0
0, 0, 1,0, 1, 0,0.167616605758667,648.4707618099877
0, 0, 1,0, 1, 1,0.9343187808990479,413.09260180729376
0, 0, 1,0, 1, 2,8.38361644744873,210.55076262367507
0, 0, 1,0, 1, 3,3.564464807510376,10.0
0, 0, 1,0, 1, 4,5.150579214096069,12.0
0, 0, 1,0, 2, 0,0.4793226718902588,474.07233467054067
0, 0, 1,0, 2, 1,3.955726385116577,221.3446598051901
0, 0, 1,0, 2, 2,2.6433517932891846,8.0
0, 0, 1,0, 2, 3,5.3792808055877686,10.0
0, 0, 1,0, 2, 4,9.017127513885498,12.0
0, 0, 1,0, 3, 0,2.0313873291015625,253.92609865063505
0, 0, 1,0, 3, 1,1.7402591705322266,6.0
0, 0, 1,0, 3, 2,4.061897277832031,8.0
0, 0, 1,0, 3, 3,7.252147436141968,10.0
0, 0, 1,0, 3, 4,11.359904050827026,12.0
0, 0, 1,0, 4, 0,1.1930811405181885,4.0
0, 0, 1,0, 4, 1,3.094956159591675,6.0
0, 0, 1,0, 4, 2,7.204114675521851,8.0
0, 0, 1,0, 4, 3,9.402544021606445,10.0
0, 0, 1,0, 4, 4,17.75387477874756,12.0
0, 0, 1,1, 0, 0,0.2589070796966553,662.7581944969361
0, 0, 1,1, 0, 1,0.2680346965789795,5093.06387279234
0, 0, 1,1, 0, 2,1.791126012802124,424.38364052345514
0, 0, 1,1, 0, 3,15.174238920211792,216.02436177387528
0, 0, 1,1, 0, 4,3.488973379135132,14.0
0, 0, 1,1, 1, 0,0.4742772579193115,436.82814247149145
0, 0, 1,1, 1, 1,0.9357118606567383,422.3044457693036
0, 0, 1,1, 1, 2,11.240530252456665,211.31021558891766
0, 0, 1,1, 1, 3,2.838637113571167,12.0
0, 0, 1,1, 1, 4,5.465813636779785,14.0
0, 0, 1,1, 2, 0,3.4989659786224365,239.0553294965461
0, 0, 1,1, 2, 1,5.422485589981079,223.36743245151968
0, 0, 1,1, 2, 2,3.7968218326568604,10.0
0, 0, 1,1, 2, 3,5.652837753295898,12.0
0, 0, 1,1, 2, 4,10.43279242515564,14.0
0, 0, 1,1, 3, 0,1.3016560077667236,6.0
0, 0, 1,1, 3, 1,2.341689348220825,8.0
0, 0, 1,1, 3, 2,4.522925615310669,10.0
0, 0, 1,1, 3, 3,9.004079341888428,12.0
0, 0, 1,1, 3, 4,14.164971828460693,14.0
0, 0, 1,1, 4, 0,3.295214891433716,6.0
0, 0, 1,1, 4, 1,3.2591850757598877,8.0
0, 0, 1,1, 4, 2,6.6917924880981445,10.0
0, 0, 1,1, 4, 3,12.523772954940796,12.0
0, 0, 1,1, 4, 4,18.61496114730835,14.0
0, 0, 1,2, 0, 0,1.081223726272583,432.8840279730917
0, 0, 1,2, 0, 1,4.3080878257751465,1865.0145271572105
0, 0, 1,2, 0, 2,2.4435548782348633,420.4875419136461
0, 0, 1,2, 0, 3,15.705169916152954,214.59494945646773
0, 0, 1,2, 0, 4,5.8233802318573,16.0
0, 0, 1,2, 1, 0,3.2152273654937744,211.05423296141737
0, 0, 1,2, 1, 1,9.585256099700928,213.0395360225063
0, 0, 1,2, 1, 2,15.022505283355713,199.98594808507622
0, 0, 1,2, 1, 3,3.601905107498169,14.0
0, 0, 1,2, 1, 4,8.527034997940063,16.0
0, 0, 1,2, 2, 0,2.0396361351013184,8.0
0, 0, 1,2, 2, 1,2.4240329265594482,10.0
0, 0, 1,2, 2, 2,3.1218984127044678,12.0
0, 0, 1,2, 2, 3,6.496237277984619,14.0
0, 0, 1,2, 2, 4,13.322370529174805,16.0
